n,win,mean,median,pf,t,avg_win,avg_loss,entry,exit,risk,window
1123,0.390026714158504,-0.01563894806441701,-0.015276761648433498,0.6316829815999058,-4.431017330059408,0.06876866182556104,-0.06961052927873874,open(시가),→12:30,손절없음,train
1123,0.19323241317898487,-0.011153711038583229,-0.02598000000000011,0.4948263285493815,-6.987917564082638,0.056539440008560406,-0.027367192028903503,open(시가),→12:30,손절2%,train
1123,0.25734639358860195,-0.01169128981185528,-0.03597000000000005,0.5528727297895963,-6.466008567278589,0.05617438812595458,-0.035208293317882916,open(시가),→12:30,손절3%,train
1123,0.3178984861976848,-0.012284043442243226,-0.03480941520870961,0.6119587822793714,-5.00600896268862,0.06093926289074808,-0.04641031023190105,open(시가),→12:30,손절5%,train
1123,0.3178984861976848,-0.012943550140830932,-0.03597000000000005,0.46622995070863305,-12.321227015010969,0.03556402596563403,-0.035550866942407944,open(시가),→12:30,손절3%+익절5%,train
1123,0.27871772039180764,-0.011065873968008125,-0.03597000000000005,0.5648497381254696,-8.332240949567215,0.05153648812131892,-0.03525666326919253,open(시가),→12:30,손절3%+익절10%,train
1123,0.3472840605520926,-0.01199425903252443,-0.028475752858685085,0.6039872516174174,-7.388765068330123,0.052675319463071316,-0.046402356731408925,open(시가),→12:30,손절5%+익절10%,train
1123,0.26714158504007124,-0.011896858444989873,-0.03409081615198461,0.48426732336893974,-9.04035794537391,0.04181684972134169,-0.03147658195641086,open(시가),→12:30,트레일3%,train
1123,0.31522707034728403,-0.012885630162250035,-0.02429859875205553,0.5363751807561035,-7.912090931781469,0.04729161587421226,-0.040587509351986906,open(시가),→12:30,트레일5%,train
1123,0.2680320569902048,-0.012498972776258993,-0.03597000000000005,0.49678196457467455,-8.997333906320002,0.046035960154732,-0.033933297365344506,open(시가),→12:30,손절3%+트레일5%,train
1123,0.390026714158504,-0.015012498585332653,-0.014494723740576806,0.6615165983875089,-4.097992525987743,0.07522496496564203,-0.07271178184858362,open(시가),→14:30,손절없음,train
1123,0.176313446126447,-0.012004053904737003,-0.02598000000000011,0.4676780752276855,-8.6990408854879,0.059815695906766324,-0.027377362513037178,open(시가),→14:30,손절2%,train
1123,0.2350845948352627,-0.013102556694051297,-0.03597000000000005,0.5165238949561289,-8.113725586863277,0.0595452714581346,-0.03542971226119575,open(시가),→14:30,손절3%,train
1123,0.3081032947462155,-0.0129094150027344,-0.05158731814816863,0.6056675505597933,-5.617344521399096,0.0643549577954543,-0.04731542914452756,open(시가),→14:30,손절5%,train
1123,0.3089937666963491,-0.013124743908879322,-0.03597000000000005,0.4697452544607783,-12.307871197008938,0.03762867769432249,-0.03581989506391931,open(시가),→14:30,손절3%+익절5%,train
1123,0.25823686553873554,-0.011226504153011492,-0.03597000000000005,0.572916479397401,-8.199298392844796,0.05831829254084003,-0.03543777791197541,open(시가),→14:30,손절3%+익절10%,train
1123,0.340160284951024,-0.011398534106312487,-0.03455017820160288,0.6335286534646498,-6.749594390101133,0.05792841350542268,-0.047137932200351396,open(시가),→14:30,손절5%+익절10%,train
1123,0.2680320569902048,-0.011747698451432491,-0.035048267865062314,0.492106519512104,-8.887179347452467,0.04246709282474254,-0.03160007335913163,open(시가),→14:30,트레일3%,train
1123,0.3098842386464826,-0.01310319219648119,-0.025707958826255203,0.5354140344911005,-8.001531705403782,0.048730547211517185,-0.040868535827427555,open(시가),→14:30,트레일5%,train
1123,0.25467497773820125,-0.01300454267802554,-0.03597000000000005,0.4865025681825917,-9.362483744285523,0.0483788642643499,-0.03397904015176433,open(시가),→14:30,손절3%+트레일5%,train
1123,0.42297417631344614,-0.010921918451093717,-0.012354708268101363,0.7557679933044126,-2.8373910674081797,0.07990445506308615,-0.07749989286349407,open(시가),→종가,손절없음,train
1123,0.176313446126447,-0.010610114064278873,-0.02598000000000011,0.5357181443691771,-6.683825351387392,0.06943673044732547,-0.027744465646222287,open(시가),→종가,손절2%,train
1123,0.23953695458593055,-0.011454369519054129,-0.03597000000000005,0.5835501107827936,-6.330235073695975,0.06700605825777563,-0.036168485528383414,open(시가),→종가,손절3%,train
1123,0.3232413178984862,-0.010508415335062388,-0.05594999999999994,0.6836234934502133,-4.367330323885068,0.07024624495966943,-0.0490793912389935,open(시가),→종가,손절5%,train
1123,0.3205699020480855,-0.012530248801476084,-0.03597000000000005,0.4947995040341214,-11.533815088658093,0.038282689181799875,-0.036504898439719,open(시가),→종가,손절3%+익절5%,train
1123,0.26892252894033836,-0.010116517956403247,-0.03597000000000005,0.6188892110101057,-7.121421777736963,0.061089354792829044,-0.036309177603502094,open(시가),→종가,손절3%+익절10%,train
