split,model,ic_mean,ic_std,ic_t,ic_pos,n_days,decile_spread,top_decile,gross_mean,net_mean,win,n_trades,total_return,sharpe,max_dd,days
검증,LightGBM,0.02788097438152187,0.12112594075391747,1.7680591497088864,0.6271186440677966,59,0.00024393333737029327,0.0007947510947358624,0.0009535117237292751,-0.006154962852541911,0.2745762711864407,590,-0.3063482656388672,-13.57460711693871,-0.30374165735535286,59
검증,GRU,0.037695959911034346,0.139675258917297,2.0730096684761548,0.6101694915254238,59,0.001226122824335609,0.0008509092106000041,0.0020002310026853726,-0.005650616454941747,0.26440677966101694,590,-0.2898178556475497,-5.498730716721057,-0.28546898416943145,59
검증,앙상블(LGBM+GRU),0.03493513765701987,0.13746073505413012,1.9521347966003044,0.5932203389830508,59,0.0007485848160993685,0.000846177144373413,0.0017248384371339545,-0.0053429581730355365,0.21525423728813559,590,-0.27184803620109066,-13.411011898507185,-0.2605657898802122,59
검증,장중 모멘텀(첫1h 수익률↑),-0.004463515180202973,0.09918307328755627,-0.3456730015570561,0.5084745762711864,59,0.0006981929829686254,0.0013900488577305305,-0.0013800039335693463,-0.010427461560687995,0.42203389830508475,590,-0.47790886667261534,-5.074304202785511,-0.5285820743090379,59
검증,"stocks-in-play(첫1h 상대거래량↑, 양봉만)",0.003313016475268092,0.07253511344607144,0.3508337025011218,0.5423728813559322,59,-0.0035906280204324945,0.0012197549732461458,0.00014004186720829723,-0.007619280166690009,0.3847457627118644,590,-0.37229717855522304,-5.4905167830305235,-0.4702884823719178,59
검증,갭 페이드(갭↓),-0.004492534081631125,0.11014762555114,-0.31328690823438793,0.5254237288135594,59,-5.132990985117392e-05,0.0001229190290119058,-0.010699087651543943,-0.019082138499001578,0.31864406779661014,590,-0.6869896606325188,-10.608267870795203,-0.6877176839311593,59
검증,단기 반전(전일 수익률↓),0.013331339004597265,0.10976777795952052,0.9328781160744607,0.576271186440678,59,-0.0003669161341925655,0.0006175280923898034,-0.006290754128020926,-0.014999228704292112,0.36271186440677966,590,-0.60100357290557,-7.906928837338064,-0.6101538467212246,59
검증,20일 모멘텀(↑),0.009552975650213793,0.0777810568619473,0.943389062267043,0.559322033898305,59,0.0005842706169261917,0.0010322429342904576,-0.007086057001737727,-0.016553853611907227,0.3847457627118644,590,-0.6394153068926542,-7.708361469129817,-0.6466885262269586,59
검증,52주 고가 근접(↑),0.02194665019576849,0.14099962299723076,1.1955735430193153,0.576271186440678,59,0.0003743994678639835,0.00046226584094140414,0.0009500377858585611,-0.006253352044649914,0.2305084745762712,590,-0.3099179677194799,-18.581350373055816,-0.30903106782195144,59
테스트,LightGBM,0.03225455450779612,0.13302376141241556,3.764179674461783,0.6016597510373444,241,0.0018376571717917756,-8.934224166367917e-05,-0.00043558691458245514,-0.00764471554528785,0.2721991701244813,2410,-0.84530233830707,-10.308645620183013,-0.8434950223194446,241
테스트,GRU,0.034597912250779836,0.13240309740928768,4.056582092235138,0.5850622406639004,241,0.0020736832481235775,-0.00014110453297706973,-0.0007448126119705662,-0.009026140412800445,0.3132780082987552,2410,-0.893571986017409,-6.757926306334385,-0.898607314848418,241
테스트,앙상블(LGBM+GRU),0.03597249283125123,0.1372931637917099,4.067524176364167,0.6016597510373444,241,0.0021115974047508698,-3.3830883071442725e-05,0.0007625243790605605,-0.0064001312225991916,0.23443983402489627,2410,-0.7905635682215433,-8.826428320177321,-0.7894151675124297,241
테스트,장중 모멘텀(첫1h 수익률↑),-0.03135610006172918,0.11002263184339797,-4.424340401568963,0.3775933609958506,241,-0.0009136813638244417,-0.001101347884490474,-0.007426278484238963,-0.01644121624357507,0.3887966804979253,2410,-0.9847526809786279,-6.72671314499833,-0.985035978988858,241
테스트,"stocks-in-play(첫1h 상대거래량↑, 양봉만)",-0.021266421510092833,0.08257077800955932,-3.998310911503849,0.38589211618257263,241,0.0009607665642817308,-0.000752501538032131,-0.003508030354304378,-0.011414254420694422,0.3759336099585062,2410,-0.9419492053618916,-7.112929956263548,-0.9410739831600674,241
테스트,갭 페이드(갭↓),-0.006658370043654773,0.14401115780031992,-0.7177617438043509,0.46887966804979253,241,0.00013824942466967617,-0.0006627987278112128,-0.00014331922424150429,-0.009387302626731136,0.4049792531120332,2410,-0.9117045921280054,-4.189836609160307,-0.9184429224747702,241
테스트,단기 반전(전일 수익률↓),-0.0031113181003857545,0.11933178972478495,-0.4047592501329292,0.45228215767634855,241,-0.0009437644012435977,-0.0013833185868813217,-0.012128066856626292,-0.021368730757041234,0.35850622406639004,2410,-0.9952894427926612,-9.76320247904824,-0.9952641494681158,241
테스트,20일 모멘텀(↑),0.004071902329309138,0.11130126909790447,0.5679443156276941,0.5228215767634855,241,0.001146168497492217,-0.00023416767970280098,-0.006782923175032804,-0.015897445996609572,0.38547717842323653,2410,-0.9823875702674115,-6.674647663985076,-0.9830204492453473,241
테스트,52주 고가 근접(↑),0.014701157095057624,0.1517679225970844,1.503765269204663,0.5601659751037344,241,0.0008232465276400741,-0.0005664970227242765,-0.0005577959381638563,-0.007687256519076721,0.22240663900414936,2410,-0.8452051396740364,-17.598166061541743,-0.8443103562984615,241
