train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,train_avg_hold_days,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe,test_avg_hold_days,model,kind,params,exclude_earnings,exit
694,0.1743515850144092,-0.6929121243439929,-0.7335299004637312,0.653252469846355,-0.0180353104420717,-2.950641829273577,0.2118155619596541,576,0.1996527777777778,0.4640107436149561,-0.3401026493961128,1.2012382137444872,0.0081231863881412,0.7970521596201267,0.2604166666666667,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 1}"
693,0.1053391053391053,-0.7256595000252158,-0.7849904939571914,0.686676866421394,-0.0184198302316402,-2.173547917869786,0.4675324675324675,575,0.1408695652173913,-0.0827731306842527,-0.44789644372428,0.9605140973206444,-0.0021924095566745,0.3555191233905538,0.6034782608695652,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 3}"
692,0.0939306358381502,-0.7578402121647876,-0.7956475207097434,0.6328522436277486,-0.0205392180014782,-1.827665285058164,0.6705202312138728,575,0.1234782608695652,0.9681741658662972,-0.4233546998010584,1.323063044960567,0.0140787365299133,1.1426353349130152,0.8730434782608696,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 5}"
691,0.0622286541244573,-0.7661617878342105,-0.8308563452876926,0.6492562738473967,-0.0205038443095098,-1.5445753130901374,1.069464544138929,560,0.0803571428571428,0.7693059805406284,-0.459497883459672,1.2267252092999543,0.0147363977571004,1.039997238571154,1.332142857142857,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 10}"
698,0.1905444126074498,-0.7927793886689861,-0.7947251836691729,0.5015859817292198,-0.0246420660859357,-5.715726838308183,0.0716332378223495,580,0.2206896551724138,-0.651994179612633,-0.6616111904665167,0.556091779934869,-0.0197562013724542,-5.2802843629273735,0.096551724137931,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 1}"
698,0.1704871060171919,-0.8026938633222003,-0.8039067624272791,0.5126146422116222,-0.0257085324570405,-5.637762447920126,0.1088825214899713,580,0.2086206896551724,-0.6391521823359656,-0.6513319727809384,0.5866816207987071,-0.0192596191521432,-5.0219603068772845,0.1517241379310344,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 3}"
698,0.1690544412607449,-0.799996708193209,-0.8012261875075873,0.5139354895018234,-0.0255185637424074,-5.541047507008998,0.1332378223495702,580,0.2068965517241379,-0.6327527531875567,-0.6451964313924747,0.595150486325745,-0.018983103449304,-4.949275306668989,0.1758620689655172,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 5}"
698,0.164756446991404,-0.8037690474894277,-0.8049753371198283,0.5138821411795605,-0.0257915869609972,-5.601909315839786,0.1733524355300859,580,0.2051724137931034,-0.6365945108537794,-0.6488669699816616,0.5935775819848926,-0.0191270144848901,-4.994506798860674,0.1896551724137931,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 10}"
697,0.1736011477761836,-0.6890397245331158,-0.7189467323063388,0.6464898480945745,-0.0183329391036481,-3.0377046242432884,0.1764705882352941,580,0.2,-0.3068474776498829,-0.4167215236800182,0.8316542396289834,-0.0075224362760061,-1.1074140072620038,0.2103448275862069,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 1}"
697,0.1147776183644189,-0.7301457543514991,-0.7585395222426418,0.662998719937593,-0.0204660430044611,-3.004983233890528,0.3127690100430416,580,0.15,-0.3656649876946839,-0.4468737348611805,0.8093953659739209,-0.0090640443628952,-1.1959769794802844,0.3948275862068965,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 3}"
