stop_pct,target_pct,max_hold_days,train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe
0.05,,1,4328,0.297365988909427,-0.9962109441056101,-0.9963598224946802,0.656023368400854,-0.01361069728970909,-8.101175165624245,2412,0.2810945273631841,-0.9763119723805376,-0.9763119723805376,0.5332859693280196,-0.01602442704246622,-9.939051973439602
0.05,,3,2532,0.21761453396524486,-0.9485398322124067,-0.9563377718292362,0.7547501184809476,-0.014058924938050499,-3.3331840063206357,1416,0.21398305084745764,-0.8023223859081461,-0.8100194409825776,0.6769720071421907,-0.012815551819411151,-3.334188441994304
0.05,,5,1969,0.19857795835449465,-0.7952880178030374,-0.8574504918318209,0.8244123719067314,-0.011313253605886267,-1.4375832545536793,1128,0.1870567375886525,-0.42924075636808845,-0.5176637526476346,0.8680340741138853,-0.008232746146746859,-0.8905717808408405
0.05,,10,1391,0.16319194823867722,-0.20397392602945197,-0.5952472941588784,0.9586672299183929,-0.007307135202945957,0.034730039014972874,836,0.13875598086124402,-0.7821580172999061,-0.7900446195618559,0.572405793550275,-0.022249889688967447,-2.6821746578340373
0.05,0.2,1,4333,0.2972536348949919,-0.9973730912007495,-0.9975061170151948,0.6656217765687952,-0.014753038070336734,-9.671805495742284,2414,0.28210439105219554,-0.9808645977936498,-0.9808645977936498,0.5080055430690251,-0.01705486584344277,-12.038231578243783
0.05,0.2,3,2684,0.2336065573770492,-0.9832071345138089,-0.9843313036731647,0.6846704794608337,-0.017305536214784357,-6.417238820117234,1505,0.22857142857142856,-0.8946785693920755,-0.8975501914959834,0.6040773911626017,-0.016901915543090992,-6.89534540122756
0.05,0.2,5,2216,0.22427797833935018,-0.9544076743514637,-0.960572980755106,0.72609636032148,-0.0166627902071351,-5.215031587943672,1274,0.20408163265306123,-0.8634091819228615,-0.86953313834885,0.5873673352874368,-0.017723907043816385,-6.442878999370303
0.05,0.2,10,1742,0.195752009184845,-0.9346376314503284,-0.9399534043546638,0.6864877175549072,-0.01875454808710376,-5.201795158213719,1045,0.18373205741626794,-0.8332387600298296,-0.8411620139023535,0.5849733018286757,-0.018693698249015706,-6.098520629962993
0.05,0.5,1,4329,0.2972972972972973,-0.9955964997078093,-0.9957695206523517,0.6745910137956451,-0.01319404746509275,-7.868555660405884,2413,0.28056361375880645,-0.9759676904398676,-0.9759676904398676,0.5370387141617674,-0.015974355619193546,-10.062498205584621
0.05,0.5,3,2562,0.21975019516003122,-0.9589963438766962,-0.968105571408375,0.7354865369325868,-0.014722378784393773,-4.16035529312387,1445,0.21038062283737025,-0.7984361667394059,-0.8117766288747588,0.6993895602866432,-0.013004308585563134,-4.08581749730548
0.05,0.5,5,2023,0.20365793376174,-0.8966502483206553,-0.9233118139881253,0.7723753749717187,-0.014183805509858963,-3.0654680010991937,1167,0.1893744644387318,-0.7006475410007118,-0.7221916044861221,0.7323084773386647,-0.012401861265253097,-3.042817546174349
0.05,0.5,10,1513,0.16721744877726372,-0.8411624022850172,-0.893005948726209,0.7411777257055064,-0.015572720749130409,-2.7334728771927814,895,0.1452513966480447,-0.7680167971164016,-0.7763969219402297,0.6161667305764073,-0.018426759170214555,-4.015556004850381
