stop_pct,target_pct,max_hold_days,train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe
0.05,,1,2566,0.29812938425565083,-0.9035713226266958,-0.9090587624233574,0.7789524334226892,-0.009155444962673195,-2.7625455360622677,1957,0.2984159427695452,-0.886962311620153,-0.886962311620153,0.6820967634020613,-0.011109926168403193,-4.9606001858185556
0.05,,3,1953,0.22375832053251407,-0.9170421886904456,-0.9253666133716996,0.7096878344133685,-0.012360936594613892,-2.831591477775833,1261,0.23473433782712133,-0.7412771136778973,-0.7509703081756511,0.7612148932391762,-0.010104165218087874,-2.4768265691200417
0.05,,5,1652,0.1894673123486683,-0.8418668968100712,-0.8575031253272466,0.7791947876067977,-0.010805992742581061,-2.022061031111811,976,0.20184426229508196,-0.6781217720132873,-0.6972229296831441,0.7507723389533526,-0.011972170200761379,-2.016522568353015
0.05,,10,1250,0.1608,-0.7157954851586413,-0.7772158876259,0.8130403858915607,-0.010801139827309455,-1.2025209433130928,678,0.16224188790560473,-0.5672763906573162,-0.6468764496953817,0.7512136392375226,-0.013086607684189814,-1.3576956069986443
0.05,0.2,1,2569,0.30089528999610743,-0.9529347429988879,-0.9529347429988879,0.6872014747697345,-0.01227091001388681,-5.405027912123624,1965,0.300763358778626,-0.9125166713855335,-0.9129081592663969,0.6358056540492223,-0.012287349251540854,-6.887655584248518
0.05,0.2,3,2036,0.24361493123772102,-0.9284334645106594,-0.9288983034810187,0.7055036298232523,-0.013378281063976389,-4.050193877189847,1345,0.25427509293680295,-0.815642736411496,-0.8250221409574282,0.7104749688547237,-0.012245001140378407,-4.858586425600029
0.05,0.2,5,1821,0.21801208127402527,-0.9106155048805411,-0.9145978543866321,0.7255872505778684,-0.013920690964477388,-3.682433070076336,1122,0.232620320855615,-0.7608810043269856,-0.7670510624709505,0.7069957831416505,-0.012441952775975797,-4.087712032909042
0.05,0.2,10,1573,0.19707565162110616,-0.8678305072601011,-0.8790718397612638,0.7471920873129836,-0.01362175136173911,-2.9820348289805203,889,0.21147356580427445,-0.6276548541586836,-0.6391424899594638,0.7476583811572514,-0.011142676189727432,-2.8234169969215213
0.05,0.5,1,2566,0.29812938425565083,-0.9144568327553343,-0.9168305782814936,0.761222988638919,-0.00989994883872984,-3.5437020097673555,1959,0.2986217457886677,-0.8698039137350537,-0.8698039137350537,0.6970411813755033,-0.010405070886020636,-4.965615123660666
0.05,0.5,3,1974,0.22695035460992907,-0.8407254047678764,-0.8664915034569645,0.7811458286480211,-0.009310088912774066,-2.113702748315833,1278,0.23943661971830985,-0.6800247531772456,-0.6917818076977105,0.792090155540705,-0.008274186043351967,-2.6015157629485546
0.05,0.5,5,1693,0.19787359716479622,-0.640788674148048,-0.7037546583160761,0.8649383577277691,-0.006840171958358311,-1.08542643382463,1002,0.21357285429141717,-0.47832554171313024,-0.5233053571423867,0.8586880313460751,-0.006092418631505216,-1.3880227207624514
0.05,0.5,10,1320,0.1643939393939394,-0.6189110241641874,-0.7145336018018954,0.8564648369373383,-0.008740129561661866,-1.1523182632734983,723,0.17565698478561548,-0.3290620966906811,-0.3842073815725596,0.8750291091605047,-0.005994839139143568,-0.8147578723077699
0.1,,1,2386,0.3583403185247276,-0.7800572244649542,-0.7950273582634203,0.8653610789004624,-0.0046409679866103535,-0.7802415320779932,1844,0.35195227765726683,-0.9052687406753473,-0.9108453674022656,0.7066666042440647,-0.012354143857524258,-4.625638316436529
0.1,,3,1579,0.3381887270424319,-0.7016812237461704,-0.7735531336549804,0.8552707980773004,-0.007671556728527464,-0.9825570598810094,980,0.3377551020408163,-0.6117906603824435,-0.6672665708232619,0.8336193596814083,-0.009525378101340728,-1.3066134591937706
0.1,,5,1212,0.30363036303630364,-0.6272909165538745,-0.767749175956542,0.8686046039828715,-0.005373161466595946,-0.7495683292602775,696,0.29310344827586204,-0.7061425150766063,-0.7200281485657409,0.7020785019280626,-0.017333788406750088,-2.0044267490621777
