stop_pct,target_pct,max_hold_days,train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe
0.05,,2,2417,0.3045097227968556,-0.8976836059667079,-0.8994019790427226,0.7454363278601257,-0.009736240561923841,-2.7934351042693755,1445,0.29619377162629756,-0.8676853895559437,-0.8688565897964005,0.5727329267102678,-0.013839355686176925,-4.454647934480184
0.05,,5,1541,0.24983776768332253,-0.8154127322637157,-0.8522397688833695,0.7480395551122283,-0.011603256453212068,-1.9828298593881641,854,0.25995316159250587,-0.6962706634819839,-0.7049973759919581,0.59810173003895,-0.013482817344252518,-1.700977162715613
0.05,,10,1071,0.20821661998132587,-0.6998676386012082,-0.7318197046793641,0.7519479933232482,-0.012380178420697616,-1.4494721785301445,584,0.20205479452054795,-0.6869467734546647,-0.7352039061767862,0.5109509838711291,-0.020502672006364957,-3.8278907543056206
0.05,0.1,2,2641,0.32298371828852707,-0.97158208754668,-0.9719158439254948,0.6147394402346549,-0.013636493776955865,-7.337177198473552,1553,0.3116548615582743,-0.9190003707694364,-0.9197454155728843,0.49975647692261477,-0.016175294369731506,-9.412797034588447
0.05,0.1,5,1967,0.30299949161159123,-0.9489511912627362,-0.9494320989146486,0.614026806263056,-0.015533801842563378,-6.5898113006524826,1106,0.29566003616636527,-0.8244920891177101,-0.8261064330129722,0.5470323331420498,-0.01592564464689906,-7.11999012692625
0.05,0.1,10,1567,0.30312699425654116,-0.879684790776915,-0.890573867983299,0.6626504394660283,-0.014172034327552539,-4.9051201747069015,903,0.28792912513842744,-0.7701094801463252,-0.773489923811765,0.5530256748213601,-0.01649001690451409,-6.244046627979386
0.05,0.3,2,2443,0.3033155955792059,-0.9198663868880055,-0.9208225039930803,0.729958066428751,-0.010670243798580939,-4.112468287305023,1455,0.2948453608247423,-0.89563874035969,-0.8977118918814443,0.5379976787578297,-0.015561643412806426,-7.287871085166074
0.05,0.3,5,1605,0.25171339563862927,-0.8590172466589185,-0.8633757893339746,0.7216402264773051,-0.012973604645676725,-3.245305252211925,878,0.25854214123006836,-0.7322164804984056,-0.7375360388562564,0.5961629675686331,-0.015049945791783892,-4.348306557598993
0.05,0.3,10,1166,0.21783876500857632,-0.6864335859283124,-0.7155971815132376,0.7905895688577135,-0.011530332823340574,-2.045262014593037,596,0.2214765100671141,-0.6240103818852665,-0.6564088108795525,0.5850925688768748,-0.016926337327749615,-3.307332126371578
0.1,,2,2132,0.3700750469043152,-0.864940862308775,-0.8672810533199106,0.8036703691649075,-0.009433225923655858,-2.1011750747160853,1251,0.3764988009592326,-0.8494327422742304,-0.8558132444624231,0.60456572988864,-0.014850714190410853,-4.528262010994204
