symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct,hold_days,reason,score
GRMN,2024-09-19,2024-09-20,166.9396844045446,164.53495116384403,59,-190.77176994767152,-0.01936879083697086,1,signal,-2.7025713710097534
MDT,2024-09-19,2024-09-20,83.22160015408971,83.79512886755045,119,18.56244001788915,0.0018743558237021706,1,signal,-3.2568612826507746
PANW,2024-09-19,2024-09-23,169.1189469451904,169.65018731689455,58,-18.309582909161996,-0.001866629787219395,2,signal,-4.159217084178692
CL,2024-09-19,2024-09-24,98.47516157451432,98.65016329008407,101,-32.09897125576642,-0.0032273274956879823,3,signal,-0.7404479228320326
RSG,2024-09-19,2024-09-24,195.7677769523961,197.56576019894325,50,40.73247018343994,0.004161304870243754,3,signal,-2.860061998682653
CRUS,2024-09-19,2024-09-24,126.4663363342285,125.70417182922364,78,-108.62208048225236,-0.011011553080284677,3,signal,-4.693463044577442
RMD,2024-09-19,2024-09-24,236.4816374791625,244.22174957781405,42,274.61085250238324,0.027648462268387543,3,signal,-5.544272728117903
VTR,2024-09-20,2024-09-24,59.069432712559916,60.00124800268256,167,105.9011442518676,0.010735477881095343,2,signal,-0.9458460193357467
O,2024-09-20,2024-09-24,54.359658414666725,55.54998124430092,182,166.62986894859372,0.01684242979421952,2,signal,-1.224879394120137
UNP,2024-09-24,2024-09-25,232.87063260605885,236.5624264946555,42,105.76487211548486,0.01081377764410882,1,signal,-4.678698810440068
COLM,2024-09-24,2024-09-27,77.86956428766075,79.4633970538343,127,152.463546078116,0.015416811096887605,3,signal,-3.579715494048685
CNK,2024-09-24,2024-09-30,26.848709581730798,27.372250098082525,371,143.94359146346363,0.014450903719268488,4,signal,-2.590253689511897
HSY,2024-09-24,2024-09-30,182.60670655779722,182.69241317747705,54,-44.68722370155144,-0.004531822490300669,4,signal,-3.4033587638482317
TGTX,2024-09-24,2024-09-30,23.273249999999997,23.716259771347048,428,139.32940668119616,0.013987560693873122,4,signal,-4.885204524858807
HALO,2024-09-25,2024-09-30,56.55649999999999,56.81312893295288,175,-4.689149391411888,-0.00047377647802633664,3,signal,-1.6290641755816893
VRSK,2024-09-19,2024-10-01,263.64410794043056,264.7296281988879,37,-8.710321029965517,-0.0008929237362063515,8,signal,-4.449308913739941
PLD,2024-09-19,2024-10-01,120.61265249762224,118.33461788832736,82,-235.7830283912996,-0.02383997636828721,8,signal,-5.340784248470953
CWST,2024-09-19,2024-10-01,102.10199999999999,99.00089847564698,97,-349.57430074258656,-0.03529665207872647,8,signal,-5.512459823200089
PEP,2024-09-23,2024-10-01,158.2622360143753,158.3342550571789,62,-44.607275462268376,-0.004546076202347761,6,signal,-0.6862137480671748
JNJ,2024-09-24,2024-10-01,154.37128106023334,153.72215360227585,64,-90.83910685528086,-0.009194463081898958,5,signal,-3.8113067200994237
CI,2024-09-27,2024-10-02,331.8670561235479,334.01244048359183,29,13.939882937256055,0.001448428247566461,3,signal,-1.1183442870000277
ENSG,2024-10-01,2024-10-03,143.92408954859505,144.90165937758167,69,17.629876510311092,0.0017752792980837687,2,signal,-2.3603806488201684
JBGS,2024-09-30,2024-10-04,16.05982305803976,16.128306767699883,620,-7.431701240621177,-0.0007463727876022299,4,signal,-2.1409142286265848
RBA,2024-09-30,2024-10-07,79.0828603074317,79.56412891981554,125,10.58139241446564,0.001070410693121707,5,signal,-1.3081563156423925
TRV,2024-10-01,2024-10-07,226.4594033857037,227.7202134314683,44,5.515884163753494,0.0005535694338475164,4,signal,-3.1589318087732323
AMZN,2024-10-01,2024-10-07,185.08489389038084,182.76704695129393,53,-171.58626993312788,-0.017491847784771315,4,signal,-3.4827073097995367
TNDM,2024-10-02,2024-10-07,42.43238938903808,41.5484101524353,234,-255.97990909681167,-0.025780571191191624,3,signal,-1.1556759648292854
GATX,2024-09-30,2024-10-08,128.82619117277173,129.03433074469498,77,-33.61140343102174,-0.003388377230566387,6,signal,-1.6235341582662102
CPB,2024-10-01,2024-10-09,44.21394665612591,43.22250090323151,225,-272.2582961533785,-0.02736776432115094,6,signal,-1.190237420907124
DORM,2024-10-03,2024-10-10,110.65054091644286,109.18071091461182,89,-179.7273236953724,-0.018250323176762628,5,signal,-0.45861479735194166
RUN,2024-10-07,2024-10-10,16.376360610961914,16.323660152435302,601,-80.80475677149812,-0.008210036016494856,3,signal,-0.6925863496415019
TJX,2024-10-07,2024-10-10,111.63670898516318,110.84835894782347,88,-118.32151823115166,-0.012044091225860788,3,signal,-0.7051719613279914
