date,equity,n_positions
2025-01-21,109770.67361598944,10
2025-01-22,109949.43639903997,10
2025-01-23,108554.20542593137,10
2025-01-24,107776.5109727641,10
2025-01-27,103440.17275102685,10
2025-01-28,102929.01601490397,10
2025-01-29,103930.05258210292,10
2025-01-30,105544.15521653285,10
2025-01-31,104247.79217417151,10
2025-02-03,104075.1054582003,10
2025-02-04,105036.45716105548,10
2025-02-05,105779.5049191579,10
2025-02-06,104782.36795245258,10
2025-02-07,104252.66601382343,10
2025-02-10,104397.91139654216,10
2025-02-11,102724.46832180525,10
2025-02-12,103882.15789681942,10
2025-02-13,110656.51279611365,10
2025-02-14,110155.13268589851,10
2025-02-18,109230.82979670852,10
2025-02-19,109930.69886011381,10
2025-02-20,106565.88558837955,10
2025-02-21,99574.85994922489,10
2025-02-24,97642.63509983657,10
2025-02-25,96851.41482031795,10
2025-02-26,95856.76206316189,10
2025-02-27,95826.14052939352,10
2025-02-28,96013.493972506,10
2025-03-03,95193.43024077856,10
2025-03-04,93046.45803455333,10
2025-03-05,93618.18366984214,10
2025-03-06,92123.17036622464,10
2025-03-07,92969.87424912059,10
2025-03-10,91779.95100464427,10
2025-03-11,91114.82625370458,10
2025-03-12,90442.98059834687,9
2025-03-13,90209.2233020683,7
2025-03-14,91098.1717213077,5
2025-03-17,92196.88410839267,5
2025-03-18,91501.53330883212,5
2025-03-19,91206.54957768085,5
2025-03-20,90984.02116581562,4
2025-03-21,90988.43182560566,4
2025-03-24,91155.35560990537,4
2025-03-25,91090.66135925404,4
2025-03-26,90926.61115688435,4
2025-03-27,90706.45169586292,4
2025-03-28,90134.37129062763,4
2025-03-31,90041.43584081384,3
2025-04-01,90107.7252390072,2
2025-04-02,90204.34516545983,2
2025-04-03,90324.70496007653,2
2025-04-04,89665.88428654568,2
2025-04-07,89599.88392033475,1
2025-04-08,89409.3838516702,1
2025-04-09,89492.63389744656,1
2025-04-10,89807.63424076932,1
2025-04-11,89812.13405766385,1
2025-04-14,90005.63419499295,1
2025-04-15,89917.13417210476,1
2025-04-16,89697.38414921658,1
2025-04-17,89893.88378300564,1
2025-04-21,89561.63376011746,1
2025-04-22,89639.63382878201,1
2025-04-23,89562.38392033475,1
2025-04-24,89444.63394322293,1
2025-04-25,89409.3838516702,1
2025-04-28,89638.13408055203,1
2025-04-29,89744.63394322293,1
2025-04-30,89827.13382878201,1
2025-05-01,89804.63417210476,1
2025-05-02,89814.38396611111,1
2025-05-05,89968.13419499295,1
2025-05-06,89997.38414921658,1
2025-05-07,89963.63380589383,1
2025-05-08,89614.8842636575,1
2025-05-09,89607.38380589383,1
2025-05-12,89268.17623814565,1
2025-05-13,90561.26142335645,10
2025-05-14,90065.02751374952,10
2025-05-15,91535.37915635816,10
2025-05-16,92590.21331048719,10
2025-05-19,92119.57013917677,10
2025-05-20,92487.63896539476,10
2025-05-21,90648.23377115536,10
2025-05-22,90661.0695141058,10
2025-05-23,90601.74482233333,10
2025-05-27,91755.71773035335,10
2025-05-28,91625.5509556036,10
2025-05-29,90689.88191110897,10
2025-05-30,90799.82944001666,10
2025-06-02,91720.41423692218,10
2025-06-03,94208.35076035968,10
2025-06-04,93100.8074826192,10
2025-06-05,93626.76541032306,10
2025-06-06,94602.22499742023,10
2025-06-09,94255.88788667561,10
2025-06-10,93393.05464998128,10
2025-06-11,94840.43164266065,10
2025-06-12,94945.58895980503,10
2025-06-13,92807.57166778232,10
2025-06-16,94829.78204070713,10
2025-06-17,93142.57561347615,10
2025-06-18,93226.20064249708,10
2025-06-20,92834.50584042615,10
2025-06-23,92640.77064145154,10
2025-06-24,93351.1678181941,10
2025-06-25,93161.32773338999,10
2025-06-26,94003.31200791209,10
2025-06-27,94457.50898171274,10
2025-06-30,92898.69709053554,10
2025-07-01,93414.04434887436,10
2025-07-02,95704.88980976609,10
2025-07-03,96808.61666790512,10
2025-07-07,95322.48180691269,10
2025-07-08,95529.71631733445,10
2025-07-09,97069.47826305893,10
2025-07-10,98027.05148235825,10
2025-07-11,98095.6344215062,10
2025-07-14,98549.0655013707,10
2025-07-15,98772.6755820897,10
2025-07-16,99479.12041012314,10
2025-07-17,99309.42493359116,10
2025-07-18,99100.44524583383,10
2025-07-21,98869.24253472849,10
2025-07-22,97633.89540109201,10
2025-07-23,98818.69361505075,10
2025-07-24,97452.32176721719,10
2025-07-25,97482.11613862311,10
2025-07-28,97798.85855119025,10
2025-07-29,98180.08784501349,10
2025-07-30,98437.96571366584,10
2025-07-31,97708.21062104499,10
2025-08-01,93502.242113446,10
2025-08-04,95197.55771805937,10
2025-08-05,95212.77813126738,10
2025-08-06,94421.84576427151,10
2025-08-07,93385.96418733521,10
2025-08-08,92391.7339107738,10
2025-08-11,92164.54661676745,10
2025-08-12,93421.66445494395,10
2025-08-13,94558.3709636796,10
2025-08-14,93606.69200860147,10
2025-08-15,93708.46472703104,10
2025-08-18,94333.87433587198,10
2025-08-19,92490.90495566973,10
2025-08-20,93007.63579355867,10
2025-08-21,93715.7437266031,10
2025-08-22,96770.9347170511,10
2025-08-25,96498.95596491487,10
2025-08-26,98693.29851776354,10
2025-08-27,99774.7629323601,10
2025-08-28,100301.91976028674,10
2025-08-29,99835.33098846667,10
2025-09-02,99171.79968315356,10
2025-09-03,99023.20994812243,10
2025-09-04,100365.34270721667,10
2025-09-05,101755.41072326891,10
2025-09-08,102751.0346913933,10
2025-09-09,101263.13484245531,10
2025-09-10,101555.92718368761,10
2025-09-11,103414.0395074486,10
2025-09-12,102569.19900554605,10
2025-09-15,105941.02472297267,10
2025-09-16,103331.7353677247,10
2025-09-17,103073.34387934454,10
