min_ret,max_hold_days,trail_atr_mult,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
0.03,20,3.0,104,0.33653846153846156,-0.16704602799715718,-0.2375860304340106,0.6924038644696188,-0.015817895728670636,-0.6514367140200374,123,0.3252032520325203,-0.05151795778921342,-0.1964661272631988,0.9241161888379426,-0.001789643640287886,-0.07166107894698583,113,0.3185840707964602,-0.08838537437198257,-0.18907822821389997,0.8697207009891171,-0.008175385862152442,-0.4581027992504681,340,0.3323529411764706,-0.2636841183352213,-0.34427342707035047,0.8405241525476468,-0.00761369612703383,-0.3289536059804208
0.03,20,5.0,102,0.3627450980392157,-0.10063112338328795,-0.2234826017254966,0.811727596037598,-0.007538394829893922,-0.3335341849862407,120,0.325,-0.018386842658252855,-0.18709489434790616,0.9732748429566666,0.0020877686576681507,0.05445450114171238,112,0.35714285714285715,-0.032203745906635106,-0.14470706358708996,0.9523809224391561,0.0006569784527244825,-0.062024646970881066,334,0.3532934131736527,-0.12590241320058293,-0.2712768291935753,0.9285265375790482,-0.0006312570002893509,-0.07581034811065947
0.03,40,3.0,84,0.30952380952380953,-0.186895894240785,-0.22142197787562212,0.6222185682466788,-0.021638470808428782,-0.7740274584038817,107,0.308411214953271,-0.2532054495500399,-0.3581994927865274,0.5843641708751538,-0.022527419394630304,-0.9213700037489957,87,0.3448275862068966,0.01897999952510343,-0.13990295287796994,1.0399133568201602,0.004934804663271995,0.23262278378436763,279,0.3225806451612903,-0.306385395968236,-0.42798841183147407,0.778584028405534,-0.008654938097934724,-0.30654197612688605
0.03,40,5.0,73,0.3013698630136986,-0.10688733636936665,-0.22441274173105163,0.7503183545810167,-0.010072375197254122,-0.42603435423419045,94,0.2872340425531915,-0.16868371847305363,-0.3067032563571883,0.7290835633485921,-0.018491799112521926,-0.5351391720851405,75,0.37333333333333335,0.2453135079971518,-0.10364880584079716,1.4827249450226492,0.03247239071751952,1.1550585740274573,234,0.3333333333333333,0.0497932498227307,-0.370012249797,1.0349878277251656,0.005920872802120899,0.20102638844595289
0.03,60,3.0,82,0.2926829268292683,-0.17446199459506984,-0.24318664121014566,0.6333804560157771,-0.020693274837442287,-0.6708039824930023,100,0.3,-0.21189334857187725,-0.34425815431682283,0.6333937536837895,-0.018804703879405173,-0.6813084964267727,84,0.2976190476190476,-0.028459637501586532,-0.23434804513544716,0.9397963143948633,-0.006195567837927896,0.020049244065989607,261,0.30268199233716475,-0.34629997867489204,-0.4934917934896168,0.7229239762861582,-0.013415405351494599,-0.41523153851719635
0.03,60,5.0,72,0.25,-0.18398392378802775,-0.2587680626343777,0.5862659429628972,-0.020742200289215824,-0.735667387963723,83,0.25301204819277107,-0.12064491242900632,-0.2789609267801537,0.7927402134351251,-0.014061070654746998,-0.29722008070255634,63,0.2857142857142857,0.10702142907101875,-0.1992608615821888,1.2353174247052743,0.015299534826474613,0.6011417243044073,217,0.24423963133640553,-0.2536515385660314,-0.4325800213445128,0.7959395864311807,-0.01011978697378134,-0.20510038891333243
0.05,20,3.0,104,0.34615384615384615,-0.13145532518098157,-0.2218051847885093,0.7693321379255188,-0.011942454030757983,-0.44672223128349475,123,0.2926829268292683,-0.16479851092772502,-0.2599913179507223,0.7570192732293154,-0.014027179235449765,-0.605618857489183,111,0.34234234234234234,-0.07343067231451217,-0.16801814280481886,0.8886006701548037,-0.005644354144545136,-0.3316213721733061,338,0.33136094674556216,-0.3137683513519831,-0.3720798098193373,0.8092414775328867,-0.01004003648649343,-0.4295921545487086
0.05,20,5.0,103,0.3592233009708738,-0.12818041764764232,-0.2278191259900738,0.7845129170756332,-0.011330782695209244,-0.4280546782921784,121,0.2892561983471074,-0.15707508880709797,-0.25591690864338457,0.7761818732152614,-0.011432798917800776,-0.5799698236605648,110,0.36363636363636365,-0.08772661562676443,-0.14185034054208756,0.8646713291314843,-0.008778400012984869,-0.3744152791800925,334,0.3413173652694611,-0.3175872110994632,-0.36656081007084784,0.8122162251581166,-0.009954166488745178,-0.42645018408017416
0.05,40,3.0,83,0.3132530120481928,-0.16769378478513386,-0.22335178827076108,0.6614435530411805,-0.020040419534318055,-0.6617177961398493,107,0.2803738317757009,-0.2882459256229585,-0.39201522811422096,0.5315194447704314,-0.028986212339188945,-1.1241708133306494,85,0.35294117647058826,0.07664651053255223,-0.1537226947706828,1.1633157407069525,0.009022357179382982,0.5154820731867678,276,0.3079710144927536,-0.32974776522015037,-0.46288420479868086,0.7631126546789175,-0.013199070251968956,-0.34348160675865563
0.05,40,5.0,71,0.28169014084507044,-0.12946031814748438,-0.2030366962128507,0.7028255636243169,-0.014341047057069855,-0.6472513753276307,97,0.27835051546391754,-0.23921585071329554,-0.3623942634304347,0.630772853852359,-0.02312824197874024,-0.8352183873520064,75,0.37333333333333335,0.22052495062213362,-0.13112275826743913,1.47115482495254,0.028148872307760524,1.0312824699648888,242,0.30991735537190085,-0.08366983999291411,-0.42809017005594374,0.9402911799307352,0.000489149400937583,0.03808692932527254
