top_n,rebalance_days,trail_atr_mult,use_regime_filter,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
10,5,,True,143,0.4405594405594406,-0.09412543523678263,-0.13509516394799348,0.6290502378403436,-0.013113468806590015,-1.133771996961468,289,0.5086505190311419,0.08572539087110442,-0.15291443717770958,1.160370358237159,0.007039737588632495,0.5732981056352396,214,0.4205607476635514,0.015049801393866025,-0.16884552749681014,1.0319807297551324,0.003023964618669564,0.21083202542145058,640,0.4765625,0.048040944253462836,-0.18305104250749604,1.0390487440557001,0.002831071645910406,0.20665831445582636
10,5,,False,143,0.4405594405594406,-0.09412543523678263,-0.13509516394799348,0.6290502378403436,-0.013113468806590015,-1.133771996961468,358,0.5111731843575419,0.16799472818300876,-0.24835805361678887,1.2659034450977962,0.010419123171528669,0.7715846091595275,229,0.47161572052401746,0.14649677322971133,-0.18257543952058175,1.2986509232036363,0.01374021598642268,0.8438155321266628,687,0.49053857350800584,0.23729388108121086,-0.2836999720750264,1.1854051788578617,0.007747376865924091,0.5202832936292171
10,5,4.0,True,157,0.4012738853503185,-0.12321852601435823,-0.14169922007727076,0.5728640403979294,-0.016110681535305947,-1.6841794969184851,297,0.5016835016835017,0.0738804936229096,-0.13679217173315794,1.1341037721389753,0.005806314268140046,0.5281284442389679,226,0.40707964601769914,-0.04324961124605209,-0.19202818589656534,0.9176685739010106,-0.0024972802569434723,-0.12859359691721026,676,0.45857988165680474,-0.050005071514098276,-0.19447727393789993,0.9615304680342659,-0.0003947990086107278,-0.024820707265301962
10,5,4.0,False,157,0.4012738853503185,-0.12321852601435823,-0.14169922007727076,0.5728640403979294,-0.016110681535305947,-1.6841794969184851,370,0.5054054054054054,0.11713766797189451,-0.2177241143080686,1.1744207872472687,0.007276310771733644,0.6674367387329088,241,0.4605809128630705,0.08511918442467392,-0.20543203137029342,1.1569765193354535,0.00831536270040422,0.5662586026006305,764,0.4803664921465969,0.12337156004857541,-0.26317197815113025,1.0852111247141565,0.00427914040176655,0.35344006995678295
10,10,,True,82,0.47560975609756095,-0.026031169591776315,-0.09624757788051386,0.8220497299260908,-0.005861191632256372,-0.3300116134060516,175,0.5428571428571428,0.058149302255523505,-0.1646434546409491,1.160006282473167,0.008707392389401868,0.428708982730957,125,0.432,0.06424307274529184,-0.16429784269109027,1.211092028733499,0.013036814086076352,0.4753907806713454,375,0.5066666666666667,0.1503944041421168,-0.18098435530463663,1.1803482268951304,0.009745216252900655,0.42535553671199583
10,10,,False,82,0.47560975609756095,-0.026031169591776315,-0.09624757788051386,0.8220497299260908,-0.005861191632256372,-0.3300116134060516,212,0.5660377358490566,0.12649099672006825,-0.18128838466942954,1.3174749486458428,0.01341990613770561,0.7093938346839586,132,0.48484848484848486,0.2926206897220607,-0.15933583334025403,1.887077666343458,0.04464736561744701,1.4794162532881183,418,0.5382775119617225,0.48832685032204703,-0.20360485941111472,1.5421928070771085,0.02255883843711475,0.9396869100896802
10,10,4.0,True,93,0.3763440860215054,-0.08160050046526313,-0.10229403918814739,0.5823876919051058,-0.017682846162176875,-1.3712855058885522,183,0.5355191256830601,0.048089014838894606,-0.14885830067253747,1.124979939266622,0.006793580724993099,0.38557136888993,134,0.40298507462686567,-0.0004959646279814045,-0.1721968895366761,0.9985988570498716,0.002098655761788377,0.11253879410661385,404,0.46782178217821785,0.007165662503986869,-0.20231914393655082,1.0078506955895132,0.0020045008230305103,0.10669911854262766
10,10,4.0,False,93,0.3763440860215054,-0.08160050046526313,-0.10229403918814739,0.5823876919051058,-0.017682846162176875,-1.3712855058885522,220,0.5590909090909091,0.11483643461423476,-0.16537456473631795,1.2709718698364985,0.0115329006824315,0.7106611064877951,141,0.45390070921985815,0.20243733277052178,-0.16743522267278244,1.5207038821619452,0.031249974998525724,1.1670019196632118,448,0.5,0.2878004498114908,-0.21767983846879213,1.2850304818641232,0.01390370047472769,0.6874635861102669
10,21,,True,55,0.6727272727272727,0.14774083917574865,-0.047728658630124654,3.688379585902193,0.05172611036947213,2.2663546056912205,97,0.4639175257731959,-0.06709640182184273,-0.18457871434231066,0.7315918122087868,-0.012255699724329008,-0.49016011149325894,79,0.5063291139240507,0.029359627238934705,-0.13269942650943578,1.1624179179247631,0.008298477756437243,0.30880150005782436,228,0.5482456140350878,0.14713220252872672,-0.19318268932380034,1.2780138952340525,0.01375473900073938,0.48094000335226245
10,21,,False,55,0.6727272727272727,0.14774083917574865,-0.047728658630124654,3.688379585902193,0.05172611036947213,2.2663546056912205,115,0.5478260869565217,0.08526863864451295,-0.22312918143708627,1.2785779588805202,0.019671671531808932,0.5370891823172134,76,0.5789473684210527,0.07598741337381032,-0.13257426515623016,1.503415872170745,0.020030922305132193,0.6168838898554161,243,0.6008230452674898,0.398521999535824,-0.23131548375745092,1.6714004435957037,0.030806145960181167,0.9278057812934191
