lookback,trail_atr_mult,min_dollar_volume,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
20,3.0,10000000,111,0.36936936936936937,0.2778009630385596,-0.1557437226087599,1.5942052259997668,0.030751556558656048,1.3258051622910052,115,0.3130434782608696,0.11608831069242265,-0.18586786375572395,1.2659090924717584,0.0107859222804987,0.5884265233752466,113,0.37168141592920356,0.3571538640653924,-0.1965474375087638,1.6006499067181503,0.029337641074582137,1.4250269914912064,325,0.36,1.1427630764294996,-0.21271494141919822,1.6108709828269208,0.02884673793313231,1.168267463703625
20,3.0,50000000,116,0.33620689655172414,0.20696459491690167,-0.16561991138834486,1.4652962222600392,0.023283910008302662,1.0922653042894246,109,0.3394495412844037,0.19743019035993514,-0.11940238563366434,1.507318488671647,0.018735483100859197,0.8982798309100747,105,0.4095238095238095,0.3607566033434333,-0.1996620785291069,1.6874539226391376,0.035315630201980926,1.507016620200993,313,0.3738019169329074,1.388429636592385,-0.20288407936731867,1.7977264959926869,0.03306822771211205,1.3740443368214534
20,5.0,10000000,110,0.36363636363636365,0.06964753135410473,-0.1597712330794656,1.15556833875934,0.008739652385554053,0.4413566396115716,112,0.3125,-0.026784466526908024,-0.20237669232199185,0.9406515461646221,-0.0020936997052960087,0.0018757018321685338,104,0.33653846153846156,-0.06836965320269361,-0.30968428716060936,0.8727848724624984,-0.005629707948516236,-0.11765449255917519,309,0.3300970873786408,0.20985153300984916,-0.27586849168104266,1.139829075037647,0.008011800623990165,0.38852479458378497
20,5.0,50000000,112,0.30357142857142855,0.14176337240642933,-0.17365341296876724,1.3206176617926342,0.01733013975841888,0.7715400067593783,106,0.32075471698113206,0.011985837938737864,-0.15911538570061257,1.0263674559929454,0.0005696818189486587,0.168671216090344,96,0.34375,0.10154763775706077,-0.2538352135030618,1.2021634772233392,0.013244762316451593,0.5730581619773722,301,0.32558139534883723,0.5306626032961019,-0.2145198827763174,1.3321849920187707,0.017770412346867805,0.722607129183102
55,3.0,10000000,116,0.35344827586206895,0.28700535929102955,-0.1829050104725085,1.6459817786373478,0.029553971331591145,1.2997026001442806,123,0.3008130081300813,0.06145276787743925,-0.173394108442545,1.1325860173706845,0.006177342177842242,0.36976314226895807,103,0.4368932038834951,0.19086981855381246,-0.18595999201255242,1.410022496768107,0.020091217756290084,0.9505728482233242,328,0.3780487804878049,0.8974102835906506,-0.20367373254507215,1.5444751362383158,0.02410509463571038,1.025497210586845
55,3.0,50000000,117,0.3418803418803419,0.12673347746507213,-0.1958599080261043,1.3138366955517364,0.01620893288367217,0.7652961028344863,114,0.30701754385964913,0.07181417101524179,-0.14512146803519177,1.1691082777582653,0.004760874775870721,0.4140451621801494,110,0.38181818181818183,0.04026356892302463,-0.2215445945973724,1.0797938841284043,0.002245429400114598,0.335452777620735,321,0.3613707165109034,0.5628019310512506,-0.2217510867244128,1.380060543154489,0.015752137112709657,0.7821323369177322
55,5.0,10000000,106,0.3584905660377358,0.25410841162500897,-0.20445240007590504,1.5762706625136376,0.03240041119568049,1.1789778422166677,112,0.29464285714285715,-0.031170135452704528,-0.18971934562991366,0.9328081365122958,-0.0033006796580814265,-0.020710271112027258,97,0.30927835051546393,-0.060187551883514434,-0.276498888259049,0.8833234851384241,-0.006021731753339955,-0.08895904613670323,307,0.3257328990228013,0.388861024937428,-0.2678167790221433,1.233125203843643,0.014621440385371543,0.5800022172038797
55,5.0,50000000,118,0.2796610169491525,0.04589040812054379,-0.23157497026336504,1.1067603410668023,0.008079259001761636,0.3344933845633439,99,0.30303030303030304,0.20025544889936842,-0.18165652406841348,1.4776138113297075,0.021836763694191925,0.9094482653094442,94,0.35106382978723405,-0.06783759364751896,-0.22678344569081177,0.8375065945038103,-0.006600444642644333,-0.14301651368805832,294,0.3231292517006803,0.5071762634194967,-0.23157497026336504,1.3619578080852777,0.018080674135564356,0.7381155084710965
