top_n,rebalance_days,trail_atr_mult,use_regime_filter,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
10,5,,True,126,0.5079365079365079,0.020131529648818036,-0.10265904062609288,1.103214968591022,0.0036956480236758063,0.32899860650142815,253,0.48616600790513836,-0.00030950410956165353,-0.12294774105662942,0.9991714065526549,0.0005616309410837141,0.06092565492782454,186,0.4032258064516129,-0.020458279549664726,-0.13409092950445212,0.9488468228214376,-0.0011792338863880914,-0.03316228934013345,559,0.47227191413237923,0.03328371758503135,-0.13606997693619438,1.0331363014298924,0.0019207017926354498,0.17250726047788079
10,5,,False,126,0.5079365079365079,0.020131529648818036,-0.10265904062609288,1.103214968591022,0.0036956480236758063,0.32899860650142815,314,0.48089171974522293,-0.02196614664589902,-0.2011613203463043,0.9523668755987691,-0.0007530515807654919,-0.030689262539147912,198,0.4494949494949495,0.033288820830079446,-0.13475052275029453,1.0806172350490302,0.00455214894510567,0.3215282559059893,632,0.48417721518987344,0.06899323693263892,-0.21307411136247367,1.0626702382177828,0.002873076695613574,0.2539953381752423
10,5,4.0,True,144,0.4513888888888889,-0.030360477864368907,-0.12331706013798704,0.8799987078005056,-0.0038725304278533373,-0.31681062409798694,259,0.49034749034749037,-0.008929416766101483,-0.11693170461002667,0.9768336887175681,-0.0003487816375164888,-0.013002272735759698,198,0.3686868686868687,-0.08263256714845402,-0.152986638727169,0.8120615177624495,-0.007755177087483123,-0.4981908611547162,595,0.44873949579831934,-0.09225530629188916,-0.1536727119230018,0.9139600405527575,-0.0026617723614152733,-0.19414086747003514
10,5,4.0,False,144,0.4513888888888889,-0.030360477864368907,-0.12331706013798704,0.8799987078005056,-0.0038725304278533373,-0.31681062409798694,323,0.48606811145510836,-0.05055965261755946,-0.1837507735014705,0.896912555818179,-0.002754716901790491,-0.2544950492933451,210,0.4142857142857143,-0.038608437771977644,-0.15412511025017595,0.9144419791073287,-0.0026619686327347103,-0.16007952047576252,671,0.46348733233979134,-0.08740006921920829,-0.19637329872791853,0.9252021749585808,-0.0020963964526919156,-0.1482408727028134
10,10,,True,83,0.5301204819277109,0.01886454036357832,-0.0704620254330467,1.1416871700742197,0.005019430357057061,0.34244864033757655,166,0.5120481927710844,0.018211059074536795,-0.11949566267437461,1.0652301554563726,0.0028868298157007717,0.2096021258787644,115,0.391304347826087,-0.008403793756549982,-0.11038084603720033,0.9670062069757376,-0.00112329325593385,0.04734858213724549,360,0.49722222222222223,0.08092786928537632,-0.11954917461898462,1.1158902147340186,0.0049793378004550845,0.3026182480510695
10,10,,False,83,0.5301204819277109,0.01886454036357832,-0.0704620254330467,1.1416871700742197,0.005019430357057061,0.34244864033757655,202,0.5148514851485149,0.01986626452005913,-0.16991046256372644,1.0583675515381652,0.0027337963410706376,0.20379873660439013,122,0.48360655737704916,0.1454978903208728,-0.11112521024587974,1.5379621885654586,0.02387905004561846,0.9704147989876785,403,0.5285359801488834,0.2586262908393542,-0.16973117040742758,1.3327421575885299,0.012530960179864974,0.6749722963320645
10,10,4.0,True,95,0.4842105263157895,-0.02353146761794367,-0.08165914945734376,0.8713365265703051,-0.004736701040330881,-0.29460205650390586,173,0.5028901734104047,0.010968180360168667,-0.09885168139837308,1.0379803742535239,0.001681043910327831,0.15296058015578906,120,0.36666666666666664,-0.04900496542786559,-0.13940139885485492,0.8279260580676316,-0.007991457288169522,-0.2797276910681824,384,0.4739583333333333,-0.017724441979275918,-0.13994445768538954,0.976853526035841,-0.00046558792735309113,0.018063747973848285
10,10,4.0,False,95,0.4842105263157895,-0.02353146761794367,-0.08165914945734376,0.8713365265703051,-0.004736701040330881,-0.29460205650390586,210,0.5047619047619047,-0.004838986840622339,-0.1537285188849392,0.9867127948105339,0.000149545687560607,0.03804172710312816,128,0.46875,0.09460396505554014,-0.1397859785002944,1.3332678779389446,0.015600284635739111,0.732597462226036,429,0.5058275058275058,0.11117744910132221,-0.15371498642640202,1.1329794963218258,0.005868553710378498,0.3749059499730761
10,21,,True,53,0.6415094339622641,0.14046020281202898,-0.0448893710629622,2.856341359747028,0.05132902961080162,2.0306265932055867,93,0.4946236559139785,0.009116733087948026,-0.16534915461912203,1.0432952732911098,0.00379186693795091,0.13601812466879012,83,0.40963855421686746,-0.02942261248689204,-0.1271725689060671,0.8465612812861645,-0.006661469225332657,-0.1900273328518751,228,0.5087719298245614,0.13256854222407588,-0.1650556083268847,1.2464372356800704,0.012313937447255395,0.4776513532345535
10,21,,False,53,0.6415094339622641,0.14046020281202898,-0.0448893710629622,2.856341359747028,0.05132902961080162,2.0306265932055867,111,0.5405405405405406,0.020754426691133254,-0.20820328706706492,1.0747300584367416,0.006906568368566426,0.21022146435666364,82,0.45121951219512196,-0.010704555931139503,-0.11700523437415389,0.94131400595757,-0.002274226800786089,-0.01344096970105267,245,0.5428571428571428,0.1691892703412352,-0.20789700410435863,1.2785948774941083,0.014636035922948896,0.5356091330779755
