lookback,top_n,rank_by,trail_atr_mult,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
126,10,mom,,51,0.5686274509803921,0.12217595543123827,-0.13947758245718378,1.5703371602100158,0.049270099862406054,0.6079227643110198,60,0.4666666666666667,0.020833802433328996,-0.252842660554095,1.0743784526856401,0.01360626065278836,0.21049251377281383,45,0.5555555555555556,0.15504929316482485,-0.3738569232939466,1.8645331301962225,0.07622591011489714,0.6681181876050868,143,0.5384615384615384,0.7333436450614308,-0.37770671679146006,1.9955275043114469,0.09234311924090079,0.7431188927205071
126,10,mom,4.0,64,0.484375,0.11663599681167014,-0.10451887703359053,1.490387922667193,0.0410442625634549,0.6678890699018284,77,0.45454545454545453,0.08295823135453517,-0.16601292002792267,1.3298959754378237,0.022692044535346893,0.4928929350988457,55,0.5272727272727272,0.18148792843084838,-0.2749691455497455,1.8191149225547685,0.07119014485884534,0.869277381620128,189,0.49206349206349204,0.6324711971730139,-0.2757606092472831,1.8232895570413137,0.06114852014145058,0.8096134888236425
126,10,mom_vol,,57,0.5263157894736842,0.08707711879668789,-0.08406823931558749,1.5963663451068952,0.03246843281040082,0.6294547402595817,67,0.44776119402985076,-0.0223330077350532,-0.235502179498838,0.9099499648104916,-0.0012615753228042512,0.006466321584210229,56,0.42857142857142855,0.10696462900127224,-0.29870188638764816,1.5586538879326475,0.043883272120614124,0.5792688746499772,170,0.4647058823529412,0.40909447234684304,-0.3032753937399998,1.625446147303243,0.054217661637348744,0.5983413347538348
126,10,mom_vol,4.0,71,0.4507042253521127,0.035267104188488885,-0.08530587704277848,1.206218176344978,0.012285359808152641,0.350975725120959,82,0.4024390243902439,0.00988640816981623,-0.17296957341524188,1.043279296413951,0.004364184793667208,0.14569501619046615,67,0.3880597014925373,0.049638243825893325,-0.2481072878836833,1.2023791387593337,0.01963354191548371,0.38767362665644794,210,0.41904761904761906,0.27842747692792624,-0.2490892329678066,1.4040880445170834,0.029934341949857345,0.5291533108058221
126,20,mom,,71,0.5492957746478874,0.15694045467105533,-0.18845005638225198,1.6062242042907604,0.05600082244604735,0.6441518601233693,86,0.4883720930232558,0.08184212315361084,-0.3262024126672126,1.241668838646127,0.02837765338642518,0.4104443594451806,73,0.589041095890411,0.2595424063363234,-0.3965584558662498,2.0264733246470255,0.06956877680034097,0.8645445819400119,204,0.5441176470588235,0.965833136330839,-0.3986096737158299,1.9857310416866065,0.08667705756000058,0.8112649721481533
126,20,mom,4.0,102,0.4803921568627451,0.16974794083296785,-0.13065333023805303,1.4877073648945294,0.03758939533156938,0.7223823559168221,131,0.4732824427480916,0.2595756233929942,-0.23993234783737083,1.7011419441602933,0.0415345721678711,0.9859338145180901,105,0.42857142857142855,0.12436514813483246,-0.3890284784594542,1.2957657716781297,0.029909486754420785,0.5853429618646164,310,0.47096774193548385,0.8883910486711579,-0.39061053529531764,1.6759148789952105,0.05059623251911575,0.8249771444424272
126,20,mom_vol,,89,0.4606741573033708,0.0736173332737704,-0.11789431549447738,1.351014108314914,0.020393489692888303,0.44551686552053305,108,0.4351851851851852,-0.03310329741227569,-0.3146398953873907,0.9129317247804872,0.006310358965042845,0.016163963434640695,95,0.5263157894736842,0.15034499324199135,-0.3419045041186176,1.5137458701446922,0.03323135341766912,0.6731914214930309,271,0.47232472324723246,0.41099263772635464,-0.3396209848149925,1.4291691937742537,0.04066989151410251,0.5464031667569669
126,20,mom_vol,4.0,125,0.44,0.07199270213199949,-0.09943923410258804,1.2530716556657966,0.01454397552141667,0.47978384420823733,143,0.3916083916083916,0.019298756363939074,-0.2540330769391923,1.0521655255705864,0.0057536555464252365,0.20076513415477898,126,0.42063492063492064,0.018966337569558567,-0.34072741168450804,1.046448774452895,0.007393937509187668,0.2636357602968141,379,0.41424802110817943,0.28622036842380627,-0.34229682247468085,1.247148848053163,0.018753808342245232,0.46244016169716806
252,10,mom,,26,0.5769230769230769,0.16437145637235018,-0.1656393165465485,2.1408281165823024,0.1288557753226619,0.7868938702725264,36,0.3333333333333333,-0.05587654009569876,-0.2489280061856285,0.7446053424240825,-0.028867012968413194,-0.10242182416661558,33,0.48484848484848486,0.15796914855431798,-0.27409578297325643,2.080412769051615,0.10294813765876346,0.7128830599986625,78,0.5256410256410257,0.39852739784213953,-0.35688425958767866,1.888379704975336,0.09669803381074715,0.5305354758266821
252,10,mom,4.0,42,0.5,0.1856379594812767,-0.1167072964077861,2.1416490274565825,0.09135374709977177,1.032331029876667,64,0.28125,-0.07428095471533303,-0.20349653415655533,0.7342350139181887,-0.023523680388327594,-0.3382575501661114,52,0.4807692307692308,0.13007453074650877,-0.2486078149398082,1.566562454478884,0.057338855476609184,0.6863739346584266,150,0.43333333333333335,0.3303174128282824,-0.2508382892830102,1.461945115562683,0.045253694594079456,0.5513907977153567
