strategy,setting,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe,n_ok,n_all
breakout,"lookback=20.0, trail_atr_mult=3.0, max_hold_days=120.0",123.0,0.3821138211382114,-0.1982863262811186,-0.2817098526508841,0.7311519602518555,-0.0125716539963279,-0.5484872287584599,148.0,0.2905405405405405,-0.3581857815246776,-0.4493227759442374,0.5955092527946078,-0.0218984516906227,-0.9279287838418574,138.0,0.2681159420289855,-0.4361834024778827,-0.5616578987907336,0.46777465394507,-0.0462464703133822,-1.8175911262154607,380.0,0.3210526315789473,-0.6025815379900703,-0.6558179111108913,0.6826197449036656,-0.0195793289694087,-0.7341069930115349,0,8
breakout_sp1500,"lookback=20.0, trail_atr_mult=3.0, min_dollar_volume=50000000.0",116.0,0.3362068965517241,0.2069645949169016,-0.1656199113883448,1.4652962222600392,0.0232839100083026,1.0922653042894246,109.0,0.3394495412844037,0.1974301903599351,-0.1194023856336643,1.507318488671647,0.0187354831008591,0.8982798309100747,105.0,0.4095238095238095,0.3607566033434333,-0.1996620785291069,1.6874539226391376,0.0353156302019809,1.507016620200993,313.0,0.3738019169329074,1.388429636592385,-0.2028840793673186,1.7977264959926869,0.033068227712112,1.3740443368214534,5,8
high_breakout,"lookback=252.0, trail_atr_mult=5.0, exit_below_sma=nan",48.0,0.3333333333333333,-0.1253598900076438,-0.1908909452626154,0.6550140874405982,-0.032157459072821,-0.4806859356617382,80.0,0.2375,-0.2978825073949743,-0.3804913555368751,0.4777965399397989,-0.0452051073607425,-0.9110815303917756,64.0,0.328125,-0.2006412904352614,-0.4589113946878363,0.5971449896351868,-0.0308860065801114,-0.4352863629148469,157.0,0.2802547770700637,-0.3190482476935362,-0.4590204653974886,0.6992473508071787,-0.0283318145558691,-0.2250822357493881,0,8
high_breakout_sp1500,"lookback=126.0, trail_atr_mult=3.0, exit_below_sma=nan",82.0,0.4024390243902439,0.2507127470738612,-0.139725099919335,1.7337595423915144,0.0354808792188932,1.1927341468257382,97.0,0.3711340206185567,0.0104606924211139,-0.1939204530403604,1.0270156455785713,0.0023830363711927,0.1543342086152364,85.0,0.388235294117647,0.0303513417420349,-0.1838818863862734,1.0770359513218026,0.0054330359521067,0.292648356132539,253.0,0.3794466403162055,0.362810360404364,-0.2550309382793121,1.2587152098627383,0.016003211828399,0.5689542955664101,3,8
ml_rank,"top_n=10, rebalance_days=21, trail_atr_mult=4.0, use_regime_filter=False",57.0,0.5964912280701754,0.1270391696890316,-0.0459472726962676,3.035104602340004,0.0432127480020917,2.075636224262909,117.0,0.5470085470085471,0.1672298941265049,-0.1307734702427089,1.64575597026027,0.0297622933380198,1.0608194060974032,80.0,0.6,0.0642249008552178,-0.1172473487628725,1.366003069772323,0.0162653935498311,0.5828618902457138,252.0,0.5833333333333334,0.449813189969241,-0.1459071938973215,1.7706208120586664,0.0315611202084798,1.134419686601094,3,24
ml_rank_sp1500,"top_n=20, rebalance_days=21, trail_atr_mult=4.0, use_regime_filter=False",100.0,0.64,0.2329078171925402,-0.0608697865115807,2.8869619381380045,0.0442233009215262,2.334708119965066,218.0,0.4954128440366973,0.1513210359794514,-0.2006022311955362,1.308984595581699,0.0152856603691049,0.7312802340756689,145.0,0.4758620689655172,0.0141783473543928,-0.1757079983249618,1.044159221797465,0.0023079784318032,0.2021994407868877,461.0,0.527114967462039,0.4668720349982425,-0.2005772392101772,1.3938310000134873,0.0181311934745236,0.9006255922771783,5,24
pead,"min_ret=0.03, max_hold_days=40.0, trail_atr_mult=5.0",73.0,0.3013698630136986,-0.1068873363693666,-0.2244127417310516,0.7503183545810167,-0.0100723751972541,-0.4260343542341904,94.0,0.2872340425531915,-0.1686837184730536,-0.3067032563571883,0.7290835633485921,-0.0184917991125219,-0.5351391720851405,75.0,0.3733333333333333,0.2453135079971518,-0.1036488058407971,1.4827249450226492,0.0324723907175195,1.1550585740274573,234.0,0.3333333333333333,0.0497932498227307,-0.370012249797,1.0349878277251656,0.0059208728021208,0.2010263884459528,0,18
pead_sp1500,"min_ret=0.05, max_hold_days=40.0, trail_atr_mult=5.0",58.0,0.3448275862068966,-0.067880871044557,-0.1702433878865901,0.7602768604146389,-0.0146503977056813,-0.390368680454061,77.0,0.3246753246753247,-0.0887341276339391,-0.2026254490452732,0.7802383847282707,-0.0103560679792947,-0.4757900896088019,58.0,0.3620689655172414,-0.0498342516024871,-0.1469337030481624,0.833912374522425,-0.0099318568794566,-0.2339552025715593,195.0,0.3487179487179487,-0.1694833980294909,-0.2953356803539262,0.8194786877519608,-0.0096756221018258,-0.2960670085589338,0,18
xs_momentum,"lookback=252, top_n=20, rank_by=mom_vol, trail_atr_mult=4.0",76.0,0.5,0.1423657130361988,-0.1545100021729682,1.5178200866959102,0.0459008904272645,0.7194054556199638,116.0,0.3448275862068966,-0.1244553640174734,-0.3760299977636511,0.8287455340128554,-0.0112890206119625,-0.0747882612394256,103.0,0.4951456310679611,0.2797657207314867,-0.2923717128638725,1.5856925455917306,0.0560351020440932,0.9687038423668948,278.0,0.4460431654676259,0.3916082394088478,-0.3756618272712629,1.2566412820224495,0.0327831053491948,0.4915451765910679,0,16
xs_momentum_sp1500,"lookback=126, top_n=20, rank_by=mom, trail_atr_mult=nan",71.0,0.5492957746478874,0.1569404546710553,-0.1884500563822519,1.6062242042907604,0.0560008224460473,0.6441518601233693,86.0,0.4883720930232558,0.0818421231536108,-0.3262024126672126,1.241668838646127,0.0283776533864251,0.4104443594451806,73.0,0.589041095890411,0.2595424063363234,-0.3965584558662498,2.026473324647025,0.0695687768003409,0.8645445819400119,204.0,0.5441176470588235,0.965833136330839,-0.3986096737158299,1.9857310416866063,0.0866770575600005,0.8112649721481533,6,16
