lookback,trail_atr_mult,exit_below_sma,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
126,3.0,50.0,97,0.4329896907216495,0.05572122804594648,-0.2267113573410391,1.0913555149895202,0.00817719513943839,0.33479082396651433,131,0.2824427480916031,-0.41487563115860104,-0.4763055172901979,0.4798772277849732,-0.03492429214688508,-1.3129241059224679,94,0.3617021276595745,-0.18065757019354078,-0.36988178770258084,0.7102065764645592,-0.024182884475659385,-0.4830203406822398,326,0.32515337423312884,-0.5536238136490186,-0.6862778102667919,0.7102171972481208,-0.023433195372797304,-0.5393273334462243
126,3.0,,99,0.41414141414141414,0.0699998522916776,-0.24129381739439792,1.1104750578560547,0.008852145653813436,0.3713074480521154,126,0.2619047619047619,-0.39061939854232286,-0.4787564064107934,0.5050957604701876,-0.03360366603754483,-1.1684722552508955,99,0.3434343434343434,-0.2607806199995081,-0.4204127970404542,0.6014395856032717,-0.027299331083780885,-0.8527766688240267,318,0.32075471698113206,-0.5270488845683681,-0.6617612794398441,0.7203925294270406,-0.022487873231806423,-0.48669959634712673
126,5.0,50.0,80,0.35,-0.2603309227469687,-0.3195476265979741,0.5708897707474441,-0.03969603718865935,-0.7180290552569092,103,0.2621359223300971,-0.37693450094137715,-0.44253575250092125,0.47897030993586276,-0.04511215277750868,-0.9956829026566916,75,0.36,-0.2857317629078946,-0.48332962556871073,0.5033521824904309,-0.041519299128964245,-0.8486569038825919,237,0.29535864978902954,-0.514974580660442,-0.5954692068320702,0.6412592163072117,-0.030458248260927856,-0.40908477283622763
126,5.0,,64,0.296875,-0.18076839027278968,-0.29767003566944217,0.6331775507715317,-0.04475825633419969,-0.5131113135778519,85,0.2,-0.4272367907453394,-0.4896667934368154,0.3374792259446238,-0.06327693113577777,-1.4957116227763605,62,0.3387096774193548,-0.14607971393197705,-0.42184200777482805,0.6974313672987412,-0.0261323854416037,-0.20816623140883878,181,0.26519337016574585,-0.3866305448842492,-0.5140824000948295,0.6616112632364342,-0.02552065970680063,-0.26449714626851883
252,3.0,50.0,75,0.38666666666666666,0.07330825699099885,-0.21732379771706256,1.1581256785427954,0.014757391525916427,0.3801873580122479,127,0.31496062992125984,-0.30018515417595937,-0.3684455525419882,0.5900452239516901,-0.02860485556481598,-0.8411297922458879,96,0.3645833333333333,-0.1908619157045096,-0.3487212326530036,0.6931601477752923,-0.024924941268262873,-0.558961605143536,301,0.3023255813953488,-0.5636616939412371,-0.6741042494283367,0.6756573634803571,-0.027522094632879416,-0.6047270528668408
252,3.0,,73,0.3972602739726027,0.16449859951612655,-0.23447751172602294,1.3337447679252332,0.024363052731690815,0.6132605194918571,123,0.3008130081300813,-0.2595204042102459,-0.38622418073981046,0.6422923252836583,-0.02535436918995826,-0.6558910578099035,99,0.37373737373737376,-0.25057151604756067,-0.4190706532151589,0.6087862596834814,-0.025507051384805104,-0.8582711767424412,286,0.32517482517482516,-0.3978112049888498,-0.5941915817553248,0.7794391629082318,-0.017799154404792784,-0.2962343154222339
252,5.0,50.0,59,0.3559322033898305,-0.15848039950637782,-0.19608841003386668,0.6097059623863939,-0.03096186904404523,-0.49409959099274153,101,0.2871287128712871,-0.28316401109044875,-0.375496685527584,0.5711879572102035,-0.03035576380244731,-0.6207188168120101,79,0.3037974683544304,-0.3181539753808026,-0.46510823687841685,0.45769811367922125,-0.05147938224614647,-1.0034632734196678,224,0.28125,-0.43434780377938464,-0.5002623582617287,0.6893133729652291,-0.029124673357647828,-0.318303462807166
252,5.0,,48,0.3333333333333333,-0.1253598900076438,-0.1908909452626154,0.6550140874405982,-0.03215745907282105,-0.4806859356617382,80,0.2375,-0.29788250739497435,-0.3804913555368751,0.4777965399397989,-0.045205107360742534,-0.9110815303917755,64,0.328125,-0.20064129043526147,-0.45891139468783637,0.5971449896351868,-0.030886006580111487,-0.43528636291484696,157,0.2802547770700637,-0.31904824769353624,-0.45902046539748864,0.6992473508071787,-0.028331814555869132,-0.22508223574938813
