lookback,top_n,rank_by,trail_atr_mult,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
126,10,mom,,43,0.3023255813953488,-0.1016242422336493,-0.21139160691618653,0.7242871666638043,-0.0341473948343157,-0.14987627436543952,53,0.2641509433962264,-0.45220867305375434,-0.4817275165385191,0.299057239857503,-0.2071381624919355,-1.299829806686128,52,0.3269230769230769,-0.05420018146799632,-0.3256736801380701,0.8510806639923966,-0.013393387644939136,0.030214215390910598,134,0.29850746268656714,-0.5323425952446832,-0.6357721922418876,0.5266973855723512,-0.09444594225475648,-0.46629765900078834
126,10,mom,4.0,59,0.2711864406779661,-0.14280285756420552,-0.23114525852727474,0.6570571055906762,-0.03980543522990435,-0.43483526891552443,70,0.22857142857142856,-0.382004793094036,-0.42138937977237023,0.43142209035039936,-0.12648804453965765,-1.204243449373432,63,0.30158730158730157,-0.09074221113133518,-0.2899695377950836,0.794375739477958,-0.023331606806646386,-0.19369103121961995,184,0.2717391304347826,-0.5028655983047948,-0.5320010862000637,0.5811261520329776,-0.06597224930817629,-0.5794472603729928
126,10,mom_vol,,58,0.5172413793103449,-0.027381304723347433,-0.14287506353267942,0.9057360153605107,-0.004173729858640223,-0.05491381876167555,67,0.3880597014925373,-0.3155837987920507,-0.375607230179664,0.41950427125220796,-0.10518971019624349,-0.8419609789900543,61,0.3114754098360656,0.07092134318883758,-0.35796171279433964,1.2034613265526457,0.03291856081029612,0.4416995088343134,179,0.39664804469273746,-0.2332365308133818,-0.49681398982986946,0.7897311063730801,-0.016200599749569288,-0.0879317024567274
126,10,mom_vol,4.0,75,0.4266666666666667,-0.0640384858336055,-0.11955887436829538,0.7849970707119014,-0.015062707172440343,-0.3693361568518601,81,0.37037037037037035,-0.22716437795303457,-0.2828120188431089,0.5782758930316855,-0.05755845522373172,-0.6394119634884149,69,0.3333333333333333,0.04619831497639204,-0.25001502442676937,1.1261267157229247,0.01902038615760969,0.36473849730878105,220,0.38636363636363635,-0.15967267519496087,-0.3496515433535027,0.8506971750102531,-0.009937962168868343,-0.0939707324909324
126,20,mom,,48,0.3333333333333333,-0.15651822262294735,-0.23168108807930154,0.607916446588155,-0.05557609484428385,-0.26447651921955095,72,0.2777777777777778,-0.4788360899449342,-0.5156695210643065,0.3528600084377803,-0.15497929049738124,-1.0470032302972816,74,0.3783783783783784,-0.007301906570990058,-0.4219224037667705,0.9854606032499136,0.004609174816500772,0.26660978972110655,165,0.3393939393939394,-0.4690352941121829,-0.5857202495909062,0.6169868978858974,-0.06173223283675702,-0.2588807291428134
126,20,mom,4.0,87,0.3103448275862069,-0.2096865627375193,-0.2741863148886575,0.6238171829650914,-0.04212082800544864,-0.5218598138330887,115,0.25217391304347825,-0.4744496244436366,-0.5294299596923164,0.4302479539868256,-0.09444258683243939,-1.1151313988516254,104,0.34615384615384615,-0.06491209572930845,-0.377421187016284,0.8911460192495466,-0.01170392222619757,0.05182172717672212,288,0.3055555555555556,-0.5938300033479988,-0.6250978300454157,0.5888794154220391,-0.05091633404192828,-0.5233021884504101
126,20,mom_vol,,70,0.4714285714285714,-0.09706682236572606,-0.18525455952231462,0.7218893406094203,-0.023163966082286026,-0.2974352201962879,89,0.38202247191011235,-0.3775965244738759,-0.4436166664809009,0.41317726600575194,-0.09269375898106826,-0.8908833117115112,92,0.391304347826087,0.03143951015861002,-0.3955051052287909,1.06214725355705,0.011840303628938186,0.3429477153895606,219,0.4200913242009132,-0.2605423339779669,-0.49959913265339273,0.784869040686939,-0.015554911421544002,-0.0727576627615018
126,20,mom_vol,4.0,121,0.39669421487603307,-0.17116550791516083,-0.198998340675563,0.6053650804417446,-0.02731998891004893,-0.7132683203813517,127,0.3700787401574803,-0.21078000724975543,-0.32264498079140747,0.692979047988708,-0.03313785494445077,-0.3935959639840561,122,0.319672131147541,-0.10457171881213145,-0.35312775901716675,0.827667403303694,-0.014430926082175343,-0.1500310143086709,350,0.3657142857142857,-0.3150441365279294,-0.4421257413509011,0.7710233820446742,-0.016206039214121996,-0.19915995295353614
252,10,mom,,31,0.2903225806451613,-0.0704179063628051,-0.19954474279039325,0.7413949599960925,-0.04185756401322132,-0.15895815073228411,46,0.30434782608695654,-0.28118794476619147,-0.4104079399016065,0.4098818762667867,-0.12674474170065755,-0.42770612096937544,44,0.4772727272727273,-0.051720771050409065,-0.30647910997022765,0.8401103418915425,-0.01780298686270317,0.026291894731654795,101,0.3465346534653465,-0.3388922514015552,-0.5027412966399015,0.6365512869573545,-0.07391735731630929,-0.13866427554129956
252,10,mom,4.0,43,0.3953488372093023,0.0006362428682116228,-0.15829658950662073,1.0023077079959928,0.009523542675173666,0.1041127908906298,64,0.3125,-0.1580190267745838,-0.35479072087548025,0.7148944676394849,-0.03504137840281225,-0.23862099526312128,62,0.43548387096774194,-0.03340770725261066,-0.24551416845210827,0.9147741716521182,-0.0036417002565234174,0.04138801394933268,161,0.38509316770186336,-0.16834136816891565,-0.35742246521026355,0.8530079377765847,-0.010564190060073447,-0.03141181723181341
252,10,mom_vol,,35,0.5142857142857142,0.06278938794375799,-0.15222439735093163,1.3952434284287634,0.04293361683217658,0.41933391149809035,54,0.3148148148148148,-0.25197342497878494,-0.3967560361243583,0.4898646758271717,-0.0972983134934984,-0.40703227483716325,44,0.4090909090909091,0.040619725360847125,-0.2993362314454613,1.1940543419712972,0.02254824777767563,0.3458185008667386,122,0.4180327868852459,-0.14909365118491735,-0.4148901598516027,0.823676700236672,-0.017801524717774613,0.05236708270424136
252,10,mom_vol,4.0,46,0.5434782608695652,0.0941792395022063,-0.12153826137927792,1.6653964222379,0.04591399380653821,0.6633017701219192,72,0.3194444444444444,-0.09907762984952684,-0.32269729995848784,0.8238059998667603,-0.015945156903989958,-0.10060080521136966,63,0.4603174603174603,0.11703167840284578,-0.2476715034981024,1.3962584722497122,0.03908715026785004,0.623431615390403,176,0.4375,0.20125389280602812,-0.3229891603999978,1.1946011941886123,0.028396874690034043,0.36286147622424075
252,20,mom,,37,0.35135135135135137,-0.050426844199224385,-0.22150332241142268,0.8324463669516393,-0.03470974352288445,-0.028423956048452964,57,0.3684210526315789,-0.2253686329009157,-0.41262793634679573,0.5669009370815697,-0.06845247592906974,-0.16623834478584537,55,0.43636363636363634,-0.005220086370497756,-0.36472168833328356,0.9872095499316017,-0.00011202368618562687,0.25997330706220584,119,0.3865546218487395,-0.28548728799285406,-0.5427636196962868,0.7183724600550008,-0.053335510203525935,-0.028633636192245057
252,20,mom,4.0,72,0.3472222222222222,-0.07178099621161071,-0.2103211248055813,0.8081646070579217,-0.013743815421501717,-0.14303009998517585,100,0.31,-0.20768709599152746,-0.4417122800536326,0.7403364238386724,-0.027514034905327764,-0.18394046422217616,92,0.4673913043478261,0.12040934227116051,-0.30456303932022777,1.2255225104908423,0.02751931948329282,0.574486967620905,246,0.3699186991869919,-0.20207908058184054,-0.4414865386390173,0.8567806690295117,-0.010764141560396826,0.030283869880425588
252,20,mom_vol,,50,0.48,0.11693881148392449,-0.15805867998095857,1.5593500549325274,0.050080512382831656,0.5729603045601607,77,0.37662337662337664,-0.24015222407422177,-0.39997317770405183,0.5342102283870195,-0.05671302505890158,-0.31033347928627125,68,0.4852941176470588,0.28382738248434225,-0.33102931486914633,2.024384304681264,0.08278039578160165,0.9224674395168052,163,0.4601226993865031,0.13596189866448505,-0.3991963263193171,1.141331339989374,0.02316199856126727,0.31925749277544857
252,20,mom_vol,4.0,76,0.5,0.14236571303619883,-0.15451000217296829,1.5178200866959102,0.04590089042726451,0.7194054556199638,116,0.3448275862068966,-0.12445536401747348,-0.3760299977636511,0.8287455340128554,-0.01128902061196257,-0.07478826123942563,103,0.49514563106796117,0.27976572073148676,-0.29237171286387253,1.5856925455917306,0.05603510204409326,0.9687038423668949,278,0.4460431654676259,0.3916082394088478,-0.37566182727126296,1.2566412820224495,0.03278310534919488,0.4915451765910679
