lookback,trail_atr_mult,max_hold_days,2024_n_trades,2024_win_rate,2024_total_return,2024_max_drawdown,2024_profit_factor,2024_expectancy,2024_sharpe,2025_n_trades,2025_win_rate,2025_total_return,2025_max_drawdown,2025_profit_factor,2025_expectancy,2025_sharpe,2026_n_trades,2026_win_rate,2026_total_return,2026_max_drawdown,2026_profit_factor,2026_expectancy,2026_sharpe,full_n_trades,full_win_rate,full_total_return,full_max_drawdown,full_profit_factor,full_expectancy,full_sharpe
20,3.0,60,125,0.376,-0.18638859435879862,-0.3078790451883836,0.7464491116291558,-0.009791720801297253,-0.5159112652805965,152,0.3026315789473684,-0.3415483784808595,-0.4312562671219682,0.6204374258086985,-0.019896472392726322,-0.8386418409727052,140,0.2714285714285714,-0.44637376737179957,-0.5616578987907336,0.45935663251664016,-0.04680150401125792,-1.8849550552379755,402,0.3034825870646766,-0.6695693045750809,-0.7110209546810187,0.6513247187569775,-0.02369597816943307,-0.9107495185511133
20,3.0,120,123,0.3821138211382114,-0.19828632628111864,-0.2817098526508841,0.7311519602518555,-0.012571653996327934,-0.5484872287584599,148,0.2905405405405405,-0.3581857815246776,-0.4493227759442374,0.5955092527946078,-0.021898451690622732,-0.9279287838418574,138,0.26811594202898553,-0.4361834024778827,-0.5616578987907336,0.46777465394507,-0.046246470313382235,-1.8175911262154612,380,0.32105263157894737,-0.6025815379900703,-0.6558179111108913,0.6826197449036656,-0.019579328969408772,-0.7341069930115349
20,5.0,60,121,0.38016528925619836,-0.10585116608719325,-0.3523198951239146,0.8561245615772339,-0.0018370938171039552,-0.16711080275701168,153,0.24183006535947713,-0.5079860025573213,-0.5643008807480399,0.42311385328273615,-0.05048847931957099,-1.4194347760248318,128,0.265625,-0.4500603007050309,-0.5730880610360668,0.4464132506386106,-0.05169304219534568,-1.692370177369769,385,0.2727272727272727,-0.8182095947882804,-0.8409963332438541,0.5297464733122652,-0.04525696507390835,-1.3640846769016157
20,5.0,120,118,0.3813559322033898,-0.08457892231470032,-0.31992819957591934,0.881691724991619,-0.0018151254879327252,-0.0968742136182374,150,0.24666666666666667,-0.49629242193930645,-0.5578712665915595,0.42654931791203565,-0.046888771953478126,-1.3747295307589904,126,0.2619047619047619,-0.43830147969860844,-0.5730880610360668,0.45568187422675843,-0.05116279160853085,-1.6212729063397808,368,0.2826086956521739,-0.7240453873616777,-0.7709209715785569,0.5912462298416896,-0.03628595729829628,-0.9496270745925556
55,3.0,60,135,0.34074074074074073,-0.2072764629848709,-0.36535781345296425,0.7061047345303478,-0.013903619023285605,-0.5952614965085101,157,0.2802547770700637,-0.36386451686390353,-0.45114942612478304,0.6046650244051568,-0.024370865955387126,-0.9753143926144624,155,0.22580645161290322,-0.5400479209575608,-0.6229864873005582,0.3693274959095961,-0.05279259195604352,-2.49498248879787,412,0.279126213592233,-0.6205790151432289,-0.6636626587530567,0.6701292257717231,-0.0223624182180639,-0.820739917032158
55,3.0,120,138,0.3333333333333333,-0.25963551100358817,-0.36535781345296425,0.6455973621067935,-0.0204879874058076,-0.7680600241161617,156,0.27564102564102566,-0.3665816485870651,-0.44037234427195426,0.6035276256542331,-0.02587377519794204,-0.9853998134979491,153,0.2222222222222222,-0.5318117727366567,-0.6229864873005582,0.37524126116236306,-0.052370288201682255,-2.4293250468765555,408,0.28431372549019607,-0.6314969017106848,-0.6781055939484263,0.6509869300796218,-0.024650304270883456,-0.8153642935555361
55,5.0,60,130,0.34615384615384615,-0.04743641333908888,-0.38890550115635014,0.9326149789916998,0.0019980242030810903,0.030856343903206577,147,0.25170068027210885,-0.47972391337659537,-0.5523484465852139,0.4501112819793165,-0.04197615097769785,-1.3024798761841645,134,0.23134328358208955,-0.4961939788657971,-0.6102968042348234,0.3911975323319489,-0.05204363470759888,-1.9341568825314661,388,0.26288659793814434,-0.713121866289737,-0.750402824201619,0.6108738789074664,-0.03105260558911285,-0.8865436686069087
55,5.0,120,129,0.34108527131782945,-0.06633274945178158,-0.38890550115635014,0.9031287603909582,0.0011795135508115677,-0.025015993833896275,146,0.23972602739726026,-0.42542552808127176,-0.49647126120062157,0.4862137867461709,-0.037842513301430215,-1.1026882699723737,132,0.22727272727272727,-0.48980984257637106,-0.6102968042348234,0.39488484406004504,-0.0519779159767807,-1.8918866149920053,379,0.2612137203166227,-0.6917446719770981,-0.736096656530739,0.611080834595081,-0.030830599878164062,-0.8560420926142713
