name,total,cagr,mdd,sharpe,2024,2025,2026,win_rate,n_trades,avg_hold
돌파_sp1500,1.3884296365923898,0.380778532005271,-0.202884079367319,1.4141341988261298,0.20696459491690256,0.3151822050946249,0.5046378989842444,0.3738019169329074,313,18.095846645367413
횡단면모멘텀_sp1500,0.965833136330839,0.2846503379789942,-0.39860967371582967,0.834814838536724,0.15694045467105466,0.1412761371366682,0.48882930076514164,0.5441176470588235,204,52.69607843137255
ML랭커_all,0.8512973564736643,0.2563872657128081,-0.24921161084323684,1.0001183690925213,0.16393124603813503,0.34818956195881134,0.17977148069278193,0.5745614035087719,228,20.99561403508772
ML랭커_sp1500,0.46687203499824537,0.15255856527950562,-0.20057723921017712,0.8135414456064751,0.2329078171925425,0.15936299045237878,0.02622405472353395,0.527114967462039,461,20.967462039045554
ETF 변동성타게팅30%+200일선,1.1950039197091762,0.33823352453947764,-0.23142272595853264,1.1059100584057888,0.46202850575944887,0.31006515442871296,0.14600513738640508,,0,
SPY 바이앤홀드,0.6528268545978051,0.20468219731398585,-0.18755229425221742,1.2707037871890794,0.24886454815309822,0.1771906798121463,0.12425598485159894,,0,
블렌드 50% 돌파_sp1500 + 50% ETF,1.3488193561486987,0.3722476799384893,-0.15896982379152957,1.4211924959735631,0.3425343239111691,0.3222210386260842,0.3231837421090116,,0,
블렌드 50% 횡단면모멘텀_sp1500 + 50% ETF,1.148229418536146,0.3275937085852805,-0.2640493707657534,1.0582208200475893,0.3129259612577604,0.23186002294035024,0.32824766837772645,,0,
블렌드 50% ML랭커_all + 50% ETF,1.083710846305698,0.31267558838916054,-0.20286249766264586,1.2603056890412891,0.31972878873984745,0.347420128563503,0.17178984768549732,,0,
블렌드 50% ML랭커_sp1500 + 50% ETF,0.8429962438139733,0.25429657790353377,-0.16866933082202185,1.1551691728726408,0.3576805550332631,0.24579410465181217,0.08963383588625162,,0,
